epoch,EpisodesSoFar,EpLenMean,avg_reward,num_opts_used
1,10,200.0,13.122806211168088,2.0
2,20,200.0,7.1078308428262265,2.0
3,30,200.0,21.774071001400582,2.0
4,40,200.0,-13.489225134870244,2.0
5,51,200.0,18.724880792978595,2.0
6,61,200.0,38.721472954517864,2.0
7,71,200.0,21.922910130610706,2.0
8,81,200.0,30.80223365329269,2.0
9,92,200.0,25.910685815799678,2.0
10,102,200.0,41.095877369524885,2.0
11,112,200.0,24.952818668560393,2.0
12,122,200.0,35.37941040856281,2.0
13,133,200.0,31.84714498201051,2.0
14,143,200.0,43.46007284222652,2.0
15,153,200.0,35.72077718762823,2.0
16,163,200.0,41.21984714157289,2.0
17,174,200.0,36.40164500764915,2.0
18,184,200.0,47.33760897185764,2.0
19,194,200.0,38.61246444721026,2.0
20,204,200.0,53.55761100726213,2.0
21,215,200.0,56.737156725518275,2.0
22,225,200.0,42.716572092360636,2.0
23,235,200.0,50.27068095221241,2.0
24,245,200.0,58.405434446436814,2.0
25,256,200.0,62.73080814950413,2.0
26,266,200.0,54.58068601722242,2.0
27,276,200.0,65.97056239692049,2.0
28,286,200.0,71.37660569063719,2.0
29,296,200.0,64.6148851826915,2.0
30,307,200.0,73.8394800139297,2.0
31,317,200.0,59.399602438500224,2.0
32,327,200.0,68.12355936492422,2.0
33,337,200.0,70.29885159770525,2.0
34,348,200.0,85.73691784383786,2.0
35,358,200.0,101.95986464227649,2.0
36,368,200.0,80.3633607416098,2.0
37,378,200.0,84.44942327407607,2.0
38,389,200.0,109.83870461743611,2.0
39,399,200.0,98.5273585724884,2.0
40,409,200.0,87.789476746257,2.0
41,419,200.0,108.73597991115261,2.0
42,430,200.0,97.18744389401066,2.0
43,440,200.0,92.02349405188693,2.0
44,450,200.0,90.33737448783418,2.0
45,460,200.0,98.05685675984665,2.0
46,471,200.0,109.83871396681835,2.0
47,481,200.0,113.34758780934017,2.0
48,491,200.0,102.17932591956354,2.0
49,501,200.0,144.492983826706,2.0
50,512,200.0,134.5655629056275,2.0
51,522,200.0,147.4704804800664,2.0
52,532,200.0,148.11070634968428,2.0
53,542,200.0,152.04080574701476,2.0
54,552,200.0,143.34403619389772,2.0
55,563,200.0,141.61503374721028,2.0
56,573,200.0,159.9717986985672,2.0
57,583,200.0,180.04141475656508,2.0
58,593,200.0,175.73027004441917,2.0
59,604,200.0,144.2157704576022,2.0
60,614,200.0,177.14607978281248,2.0
61,624,200.0,181.57097825891628,2.0
62,634,200.0,179.98217842113652,2.0
63,645,200.0,189.03736409957557,2.0
64,655,200.0,180.28110775291722,2.0
65,665,200.0,195.700304820897,2.0
66,675,200.0,197.30120646417694,2.0
67,686,200.0,193.27236391389903,2.0
68,696,200.0,198.70243911813918,2.0
69,706,200.0,194.42165384350093,2.0
70,716,200.0,197.0660789133459,2.0
71,727,200.0,208.6104585548393,2.0
72,737,200.0,235.13742195115742,2.0
73,747,200.0,184.49978128227323,2.0
74,757,200.0,199.44448995765202,2.0
75,768,200.0,218.71257728457408,2.0
76,778,200.0,231.5309621090596,2.0
77,788,200.0,220.3123412516918,2.0
78,798,200.0,215.83482232934563,2.0
79,808,200.0,233.3670493363589,2.0
80,819,200.0,231.58419174338778,2.0
81,829,200.0,236.87347645276554,2.0
82,839,200.0,211.15525057672494,2.0
83,849,200.0,234.60677618185204,2.0
84,860,200.0,257.72493820068456,2.0
85,870,200.0,245.57161120354095,2.0
86,880,200.0,228.50744019457608,2.0
87,890,200.0,260.84693024824304,2.0
88,901,200.0,260.4957956967632,2.0
89,911,200.0,219.21528207301398,2.0
90,921,200.0,233.5734374339,2.0
91,931,200.0,248.42262299356088,2.0
92,942,200.0,233.64588924861445,2.0
93,952,200.0,258.92057524116484,2.0
94,962,200.0,283.6930624936186,2.0
95,972,200.0,266.2764935544999,2.0
96,983,200.0,236.7013353850789,2.0
97,993,200.0,253.15586873455374,2.0
98,1003,200.0,266.8754208890938,2.0
99,1013,200.0,302.189419748925,2.0
100,1024,200.0,262.2031147902992,2.0
101,1034,200.0,277.22118799695335,2.0
102,1044,200.0,272.8382415108443,2.0
103,1054,200.0,289.4877028222305,2.0
104,1064,200.0,298.39404769990006,2.0
105,1075,200.0,306.7262019385191,2.0
106,1085,200.0,284.27963951006006,2.0
107,1095,200.0,284.55974948112186,2.0
108,1105,200.0,283.37267531625884,2.0
109,1116,200.0,298.77549600552715,2.0
110,1126,200.0,306.42855918497594,2.0
111,1136,200.0,284.2156580216679,2.0
112,1146,200.0,287.3756816821216,2.0
113,1157,200.0,285.45611577517803,2.0
114,1167,200.0,277.16582644878946,2.0
115,1177,200.0,302.5173143115093,2.0
116,1187,200.0,287.0026760254132,2.0
117,1198,200.0,287.0397968159632,2.0
118,1208,200.0,284.54684931639815,2.0
119,1218,200.0,311.9246484497054,2.0
120,1228,200.0,323.5851604813802,2.0
121,1239,200.0,318.2880651749598,2.0
122,1249,200.0,313.0226283589915,2.0
123,1259,200.0,320.28117834336155,2.0
124,1269,200.0,286.9483713520778,2.0
125,1280,200.0,321.4522607816289,2.0
126,1290,200.0,301.6982050216346,2.0
127,1300,200.0,298.67307760200265,2.0
128,1310,200.0,322.45493001245086,2.0
129,1320,200.0,296.01299660746645,2.0
130,1331,200.0,311.2092990745679,2.0
131,1341,200.0,320.26667120400555,2.0
132,1351,200.0,324.8569249609217,2.0
133,1361,200.0,311.3418224202917,2.0
134,1372,200.0,318.23549820947454,2.0
135,1382,200.0,327.56703318179825,2.0
136,1392,200.0,331.68876813944024,2.0
137,1402,200.0,304.08965909057554,2.0
138,1413,200.0,313.222003206555,2.0
139,1423,200.0,323.10797320166984,2.0
