epoch,EpisodesSoFar,EpLenMean,avg_reward,entropy_of_sampling_state,number_of_options_changed, op_probs
1,10,200.0,-7.940524329356985,1909.13415331451,1003,0.5116274356842041,0.48837268352508545
2,20,200.0,-1.131924872878733,1952.595855882268,1069,0.4929560124874115,0.5070439577102661
3,30,200.0,18.957501621825234,1812.4320398926811,991,0.5127401947975159,0.48725971579551697
4,40,200.0,5.186752650749279,1786.9193100887348,895,0.5340765714645386,0.46592360734939575
5,51,200.0,6.341864636674218,1521.631636658081,837,0.5527499318122864,0.44725000858306885
6,61,200.0,23.968977480372683,1498.125800379729,883,0.5582359433174133,0.44176366925239563
7,71,200.0,3.3287873502635366,1609.5726269468607,916,0.4524857997894287,0.5475140810012817
8,81,200.0,14.639982657428163,1378.196952188032,917,0.502345621585846,0.49765443801879883
9,92,200.0,24.75556180277139,1382.002733941332,854,0.47976014018058777,0.5202392935752869
10,102,200.0,31.539236978872033,1314.0962118612943,843,0.4445805251598358,0.5554192662239075
11,112,200.0,-1.6417071843216846,1278.104937977545,765,0.4246571660041809,0.5753417611122131
12,122,200.0,28.390460254003465,1189.5930322454606,782,0.45617789030075073,0.543822169303894
13,133,200.0,7.054905194145292,1146.6979943455785,732,0.36170291900634766,0.6382968425750732
14,143,200.0,35.05906219602619,1161.7480952607618,834,0.383889377117157,0.6161107420921326
15,153,200.0,39.664782085078585,1224.7819978462917,859,0.41293707489967346,0.5870622396469116
16,163,200.0,54.72143921284872,1159.496733644949,800,0.3757217824459076,0.6242779493331909
17,174,200.0,40.629930456509854,1036.6506045106328,726,0.37692099809646606,0.6230787038803101
18,184,200.0,34.21139758204359,931.1279496852587,706,0.38146594166755676,0.6185341477394104
19,194,200.0,53.057621318109135,857.6730030165024,640,0.3199341893196106,0.6800665259361267
20,204,200.0,35.147426990657664,785.0591267551902,655,0.35356757044792175,0.6464327573776245
21,215,200.0,55.59844136037443,830.9246808316674,723,0.37911257147789,0.620887279510498
22,225,200.0,59.64712863289085,779.6002654269943,604,0.28272953629493713,0.7172691226005554
23,235,200.0,37.68508737784615,802.9999154984032,641,0.3183797001838684,0.6816198825836182
24,245,200.0,49.48332406842464,698.4380515943767,570,0.2823050916194916,0.7176953554153442
25,256,200.0,53.0172032258544,739.0301777435492,527,0.2764812111854553,0.7235181331634521
26,266,200.0,39.67943342170094,666.2517071026106,549,0.2627619206905365,0.7372380495071411
27,276,200.0,57.62158240580413,660.5855420278197,501,0.2540874481201172,0.7459126114845276
28,286,200.0,51.18445831102212,627.3921332750893,498,0.2870432138442993,0.7129559516906738
29,296,200.0,69.27751114991678,614.180139633191,500,0.27366483211517334,0.7263354063034058
30,307,200.0,57.11841832483793,608.2552035684092,416,0.25513824820518494,0.744861364364624
31,317,200.0,66.62812399946526,570.4477834423608,449,0.26296719908714294,0.7370331883430481
32,327,200.0,81.57086032235827,440.0831571217395,308,0.18578949570655823,0.8142107725143433
33,337,200.0,60.728537786375156,610.7485948521662,426,0.285121887922287,0.7148784399032593
34,348,200.0,79.9976044899255,545.102556722592,401,0.22103804349899292,0.7789620161056519
35,358,200.0,79.88612747684337,546.083164700829,374,0.23302698135375977,0.7669738531112671
36,368,200.0,57.38654417665341,603.1328240419092,454,0.26774147152900696,0.7322582006454468
37,378,200.0,84.16681284147391,354.413556031781,237,0.13971519470214844,0.8602854013442993
38,389,200.0,86.75267106055213,388.5828146878549,319,0.2104855477809906,0.7895148992538452
39,399,200.0,89.55780150533067,409.7837765558349,348,0.2449127733707428,0.7550891637802124
40,409,200.0,92.05273899750527,340.3370441964625,266,0.16597139835357666,0.834029495716095
41,419,200.0,91.55820829082329,309.9558672449452,228,0.15827743709087372,0.8417233824729919
42,430,200.0,83.8496942631509,385.5028601393526,284,0.166605606675148,0.8333954215049744
43,440,200.0,92.19019151742505,354.18939583377005,310,0.15992328524589539,0.8400775194168091
44,450,200.0,93.43911192529585,403.41032996503867,316,0.17982691526412964,0.8201745748519897
45,460,200.0,97.29703370366491,407.64000588086515,366,0.209276020526886,0.7907249927520752
46,471,200.0,124.70441003989313,420.96678824231617,391,0.20614001154899597,0.7938604950904846
47,481,200.0,132.24971542252655,407.415915511951,265,0.22106677293777466,0.7789329290390015
48,491,200.0,116.84643457146976,359.201246954771,292,0.1982761025428772,0.801724374294281
49,501,200.0,119.94212574802422,370.4081366040589,313,0.3149639666080475,0.6850374937057495
50,512,200.0,111.42504516115036,335.64159102488844,308,0.2815047800540924,0.7184970378875732
51,522,200.0,134.616439965449,263.7075104857234,272,0.2209423929452896,0.7790582180023193
52,532,200.0,123.42171865160113,284.51723425993544,276,0.23528634011745453,0.7647138237953186
53,542,200.0,135.7379986035593,281.446975681041,282,0.21274513006210327,0.7872558236122131
54,552,200.0,113.0503656047326,296.5643021429075,264,0.21279999613761902,0.7872007489204407
55,563,200.0,125.19599946438856,247.47995103916637,267,0.1684141606092453,0.8315868973731995
56,573,200.0,116.52215355820567,321.77682346904544,370,0.26345542073249817,0.7365444898605347
57,583,200.0,132.02608348042475,298.3395470411785,334,0.2453051060438156,0.7546953558921814
58,593,200.0,143.00123010640274,249.57232311468283,279,0.22393269836902618,0.7760689854621887
59,604,200.0,151.9474947481485,224.70395432374033,222,0.18883781135082245,0.8111635446548462
60,614,200.0,138.2242695845044,209.16960192397323,220,0.21266479790210724,0.7873363494873047
61,624,200.0,167.7320193146507,188.28091089950985,215,0.16265633702278137,0.8373442888259888
62,634,200.0,153.35603731516284,263.2161666533162,282,0.24314355850219727,0.7568567991256714
63,645,200.0,157.3154048286002,235.58940008514756,277,0.2588214576244354,0.7411786913871765
64,655,200.0,179.74758195370728,171.2586529207683,167,0.16779522597789764,0.8322053551673889
65,665,200.0,155.690849912451,206.07310992415765,232,0.20697881281375885,0.7930217385292053
66,675,200.0,186.45910564360702,219.84680843181337,238,0.2211805135011673,0.7788199186325073
67,686,200.0,171.43299625365918,247.62177984917994,273,0.2490222156047821,0.750978410243988
68,696,200.0,178.8741788944782,170.78136304391748,168,0.1601240485906601,0.8398768901824951
69,706,200.0,181.05627207988857,179.6453485752461,245,0.2085287719964981,0.7914718389511108
70,716,200.0,192.12933131910881,148.7289580913131,145,0.17457012832164764,0.8254305124282837
71,727,200.0,176.2158636460034,178.8952310671795,176,0.1885102540254593,0.811490535736084
72,737,200.0,183.03818038510605,204.5281841644995,250,0.21772165596485138,0.7822785973548889
73,747,200.0,196.8652671088889,185.91802770838734,187,0.21055151522159576,0.7894490957260132
74,757,200.0,199.2312584487957,196.27096886184466,203,0.2343168705701828,0.7656838297843933
75,768,200.0,209.64893349598583,184.26135045376358,190,0.18840210139751434,0.8115987777709961
