reward,avg. duration,switch_num,step
0.0,2.9490196078431348,255,499
0.0,2.9723320158102764,253,499
1.0,2.8861788617886184,123,233
1.0,3.1013215859030847,227,479
0.0,3.061983471074378,242,499
0.0,3.0663900414937753,241,499
0.0,3.0000000000000013,249,499
0.0,3.061983471074382,242,499
1.0,3.042105263157894,190,388
0.0,3.1652173913043495,230,499
0.0,2.91923076923077,260,499
0.0,3.028455284552846,246,499
0.0,3.128755364806865,233,499
0.0,2.980158730158728,252,499
0.0,3.1324786324786333,234,499
0.0,3.096638655462184,238,499
0.0,2.968379446640318,253,499
0.0,2.9959677419354835,248,499
0.0,2.9453125000000013,256,499
1.0,3.0169491525423733,177,359
0.0,3.179039301310042,229,499
0.0,3.008064516129033,248,499
0.0,2.9045801526717567,262,499
1.0,3.0594059405940603,101,208
1.0,2.969230769230769,65,128
1.0,3.3455882352941173,136,320
1.0,3.107692307692307,130,277
1.0,2.9189189189189193,74,142
0.0,2.922480620155039,258,499
1.0,2.848484848484848,66,123
1.0,2.8299999999999987,200,371
1.0,2.9869565217391303,230,457
1.0,3.158730158730158,63,136
1.0,3.14,200,428
1.0,2.7799999999999994,50,89
1.0,3.128205128205128,39,83
1.0,3.047619047619047,42,87
1.0,2.6052631578947376,38,61
1.0,3.724137931034484,29,79
1.0,2.7777777777777777,54,98
1.0,3.482758620689655,29,72
1.0,2.973684210526317,114,225
1.0,3.088983050847459,236,495
1.0,3.2058823529411766,34,76
1.0,3.0476190476190474,42,86
1.0,2.783783783783784,37,67
1.0,2.6315789473684212,38,67
1.0,3.1,30,65
1.0,2.7619047619047623,42,74
1.0,3.233333333333333,30,67
1.0,2.5636363636363635,55,86
1.0,2.867647058823529,68,127
1.0,2.851851851851853,81,150
1.0,2.8235294117647065,34,62
1.0,2.8139534883720922,43,78
1.0,2.8888888888888897,36,68
1.0,2.7719298245614024,57,104
1.0,2.93939393939394,33,65
1.0,2.6216216216216224,37,61
1.0,2.578947368421053,38,60
1.0,2.903225806451612,31,59
1.0,2.8444444444444454,45,83
1.0,3.2187499999999996,32,71
1.0,2.661016949152542,59,98
0.0,2.968379446640318,253,499
1.0,2.6000000000000005,40,64
1.0,2.6744186046511627,43,72
