reward,avg. duration,switch_num,step
0.0,2.964566929133859,254,499
0.0,3.092436974789915,238,499
0.0,2.8935361216730033,263,499
0.0,2.937743190661478,257,499
0.0,2.945098039215688,255,499
0.0,3.0714285714285703,238,499
1.0,3.044642857142857,112,231
0.0,2.98406374501992,251,499
0.0,3.0000000000000018,248,499
0.0,3.024489795918364,245,499
0.0,2.9492187500000027,256,499
0.0,2.9045801526717563,262,499
0.0,3.040983606557377,244,499
0.0,3.0080971659919045,247,499
0.0,2.9840637450199203,251,499
0.0,2.9880000000000004,250,499
1.0,2.840909090909093,264,489
0.0,2.861940298507463,268,499
0.0,2.956692913385826,254,499
0.0,3.0040160642570295,249,499
1.0,2.774566473988438,173,310
0.0,2.976190476190475,252,499
0.0,3.045081967213116,244,499
0.0,2.8759398496240594,266,499
0.0,2.844444444444444,270,499
1.0,3.0070921985815606,141,283
1.0,3.0,158,318
0.0,2.926356589147287,258,499
0.0,3.105485232067509,237,499
1.0,2.894273127753304,227,431
1.0,3.1470588235294117,102,219
0.0,3.079166666666668,240,499
0.0,3.193832599118943,227,499
0.0,3.0120967741935494,248,499
0.0,2.976190476190476,252,499
1.0,3.1592356687898087,157,341
1.0,2.946745562130178,169,329
0.0,2.941406249999998,256,499
0.0,2.9645669291338588,254,499
0.0,2.9606299212598426,254,499
1.0,2.868217054263566,129,241
0.0,2.919230769230769,260,499
1.0,3.0365853658536577,164,335
0.0,3.0202429149797547,247,499
0.0,2.972332015810276,253,499
0.0,2.972222222222223,252,499
0.0,2.890151515151516,264,499
0.0,3.0705394190871353,241,499
0.0,3.0120967741935494,248,499
0.0,3.0878661087866095,239,499
0.0,3.146551724137932,232,499
0.0,3.0284552845528454,246,499
0.0,2.930232558139535,258,499
0.0,2.8973384030418226,263,499
0.0,3.0450819672131164,244,499
0.0,2.8689138576779043,267,499
0.0,2.9375000000000018,256,499
0.0,2.9153846153846175,260,499
0.0,2.8413284132841317,271,499
0.0,2.9341085271317833,258,499
0.0,2.9227799227799234,259,499
0.0,2.945312500000001,256,499
0.0,2.827838827838828,273,499
0.0,3.12340425531915,235,499
0.0,3.016194331983805,247,499
0.0,3.0285714285714276,245,499
0.0,2.8308823529411757,272,499
0.0,2.8481481481481494,270,499
0.0,2.8438661710037167,269,499
0.0,2.886363636363635,264,499
0.0,3.0243902439024395,246,499
0.0,2.988047808764939,251,499
0.0,2.988047808764943,251,499
0.0,2.9492187500000018,256,499
0.0,2.897338403041826,263,499
0.0,2.9453125,256,499
0.0,2.9959999999999987,250,499
0.0,2.848148148148147,270,499
0.0,2.8689138576779016,267,499
0.0,2.847014925373134,268,499
0.0,2.972222222222223,252,499
0.0,2.872180451127818,266,499
0.0,2.949218750000002,256,499
0.0,2.883018867924529,265,499
0.0,2.926640926640929,259,499
0.0,2.807971014492752,276,499
0.0,3.0495867768595026,242,499
0.0,2.814545454545455,275,499
0.0,3.0040322580645156,248,499
0.0,2.9003831417624526,261,499
1.0,3.037500000000003,160,326
0.0,2.9800796812748995,251,499
0.0,2.9266409266409266,259,499
0.0,2.775800711743773,281,499
0.0,2.8646616541353387,266,499
0.0,2.904580152671758,262,499
0.0,2.8935361216730064,263,499
0.0,2.8544776119402986,268,499
0.0,2.834558823529412,272,499
0.0,2.7785714285714276,280,499
0.0,2.8825757575757573,264,499
0.0,3.020325203252032,246,499
0.0,2.8792452830188684,265,499
0.0,2.9492187499999996,256,499
0.0,2.872180451127819,266,499
0.0,2.94901960784314,255,499
0.0,2.941634241245137,257,499
0.0,2.7750000000000004,280,499
0.0,2.8376383763837634,271,499
0.0,2.820512820512821,273,499
0.0,2.797833935018054,277,499
0.0,2.900763358778626,262,499
0.0,2.904580152671757,262,499
0.0,2.918918918918919,259,499
0.0,2.883018867924528,265,499
0.0,2.9045801526717567,262,499
0.0,2.9080459770114944,261,499
0.0,2.9568627450980394,255,499
0.0,2.98015873015873,252,499
0.0,2.8792452830188684,265,499
0.0,2.926356589147288,258,499
0.0,2.9266409266409257,259,499
0.0,2.763250883392225,283,499
0.0,2.9118773946360155,261,499
0.0,2.8759398496240585,266,499
0.0,2.8014440433212977,277,499
0.0,2.9038461538461537,260,499
0.0,2.7206896551724133,290,499
0.0,2.9192307692307695,260,499
0.0,2.850187265917601,267,499
0.0,2.807971014492753,276,499
0.0,2.875939849624062,266,499
0.0,2.861940298507461,268,499
0.0,2.9453125000000013,256,499
0.0,2.8897338403041815,263,499
0.0,2.8513011152416343,269,499
0.0,2.968379446640317,253,499
0.0,2.848148148148147,270,499
0.0,2.9076923076923094,260,499
0.0,2.8684210526315796,266,499
0.0,2.9723320158102764,253,499
0.0,2.9800796812748995,251,499
0.0,2.976190476190476,252,499
0.0,2.9045801526717567,262,499
0.0,2.7291666666666643,288,499
0.0,3.070539419087138,241,499
0.0,2.848148148148148,270,499
0.0,2.6972789115646254,294,499
0.0,2.896153846153847,260,499
0.0,2.9045801526717576,262,499
0.0,2.7632508833922267,283,499
1.0,2.7244444444444462,225,388
0.0,2.9919999999999995,250,499
1.0,2.9897959183673493,196,390
1.0,2.7415730337078648,89,156
1.0,2.8141592920353977,113,206
1.0,2.7589743589743607,195,346
1.0,2.8901098901098905,91,174
1.0,3.0625000000000013,48,101
1.0,2.8258706467661696,201,367
1.0,3.041666666666667,24,49
1.0,2.956521739130435,23,45
1.0,2.837837837837838,37,68
1.0,2.750000000000001,28,49
1.0,2.7,30,52
1.0,2.633333333333333,30,50
1.0,2.6202531645569622,79,129
1.0,2.5853658536585367,41,69
1.0,2.899999999999999,60,114
1.0,2.8181818181818192,33,63
1.0,2.90625,32,62
1.0,2.8904109589041096,73,140
1.0,2.6944444444444446,36,61
1.0,2.705882352941176,34,59
1.0,2.7878787878787876,33,59
1.0,2.567567567567568,37,59
1.0,2.5641025641025648,39,62
1.0,2.6250000000000004,40,66
1.0,2.6764705882352944,34,60
1.0,2.7000000000000006,40,69
1.0,2.8000000000000003,35,63
1.0,2.818791946308724,149,272
1.0,3.2307692307692304,26,58
1.0,3.1,20,42
1.0,2.8571428571428577,28,57
1.0,2.8823529411764706,34,66
1.0,2.7500000000000004,32,56
1.0,2.903225806451613,31,61
0.0,2.8072727272727276,275,499
1.0,2.820224719101123,89,162
1.0,2.64,25,42
1.0,2.611940298507463,67,108
1.0,3.041666666666667,24,50
1.0,2.9999999999999996,24,49
1.0,2.692307692307693,26,45
1.0,2.317073170731708,41,54
1.0,2.8666666666666667,30,57
1.0,2.45945945945946,37,54
1.0,3.0833333333333335,24,53
1.0,2.5405405405405403,37,57
1.0,2.552631578947368,38,61
1.0,2.588235294117647,34,54
1.0,3.0384615384615383,26,56
1.0,2.71875,32,56
1.0,2.9999999999999996,25,52
1.0,2.470588235294118,34,52
1.0,2.4375000000000004,32,47
1.0,2.7692307692307696,26,50
1.0,2.6071428571428577,28,45
1.0,2.931034482758621,29,56
1.0,2.6896551724137936,29,49
1.0,2.5714285714285716,35,55
1.0,3.0909090909090913,22,47
1.0,2.378378378378379,37,52
1.0,2.5769230769230775,26,41
1.0,2.72,25,44
1.0,3.0,18,37
1.0,2.607142857142857,28,45
1.0,2.88,25,47
1.0,2.67741935483871,31,52
1.0,3.0370370370370368,27,55
1.0,2.9599999999999995,25,49
1.0,2.7391304347826093,23,40
1.0,2.592592592592593,27,43
1.0,2.428571428571429,35,53
1.0,2.5806451612903225,31,49
1.0,2.740740740740741,27,49
1.0,2.6428571428571437,28,48
1.0,2.6666666666666674,24,40
1.0,2.5185185185185177,27,44
1.0,2.416666666666666,36,55
1.0,2.8965517241379306,29,55
1.0,2.75,32,56
1.0,2.6363636363636367,33,54
1.0,2.8499999999999996,40,74
1.0,2.5102040816326534,49,75
1.0,3.4736842105263164,19,47
1.0,2.625,24,39
1.0,2.6400000000000006,25,42
1.0,2.6000000000000005,25,40
1.0,2.7083333333333335,24,41
1.0,3.0,22,45
1.0,2.6363636363636362,33,54
1.0,2.8,25,45
1.0,2.851851851851852,27,50
1.0,3.0000000000000004,25,50
1.0,2.91304347826087,23,45
