reward,avg. duration,switch_num,step
0.0,3.053497942386831,243,499
0.0,2.9960000000000004,250,499
0.0,3.053497942386831,243,499
1.0,3.1405405405405404,185,396
0.0,2.868913857677902,267,499
0.0,2.9490196078431365,255,499
0.0,3.012096774193548,248,499
0.0,2.9153846153846175,260,499
0.0,2.85820895522388,268,499
0.0,3.03688524590164,244,499
0.0,3.087866108786612,239,499
0.0,3.02439024390244,246,499
0.0,3.0,249,499
0.0,2.922779922779923,259,499
0.0,3.0534979423868305,243,499
0.0,2.918287937743189,257,499
0.0,3.114406779661016,236,499
0.0,2.988047808764941,251,499
0.0,2.915384615384618,260,499
1.0,3.123456790123457,162,346
0.0,3.1336206896551735,232,499
0.0,3.0202429149797556,247,499
0.0,2.964426877470355,253,499
0.0,2.9529411764705893,255,499
0.0,3.020242914979757,247,499
0.0,2.949218749999999,256,499
0.0,3.049382716049384,243,499
0.0,3.0705394190871353,241,499
0.0,3.061983471074379,242,499
0.0,2.886363636363635,264,499
0.0,2.9192307692307695,260,499
0.0,2.890151515151515,264,499
0.0,3.016194331983804,247,499
0.0,3.103448275862068,232,499
0.0,3.0080971659919022,247,499
0.0,3.1790393013100426,229,499
0.0,2.861940298507461,268,499
0.0,2.979919678714862,249,499
0.0,2.9606299212598426,254,499
0.0,2.988047808764941,251,499
1.0,2.974789915966386,119,236
0.0,2.9801587301587307,252,499
0.0,3.084033613445379,238,499
0.0,2.9919678714859432,249,499
0.0,3.0622406639004147,241,499
0.0,3.079166666666666,240,499
0.0,2.9565217391304346,253,499
0.0,2.9341085271317837,258,499
0.0,2.949218750000002,256,499
1.0,2.961038961038961,77,151
0.0,2.9919999999999987,250,499
0.0,3.1938325991189416,227,499
0.0,2.9801587301587293,252,499
0.0,2.988047808764942,251,499
0.0,3.0080645161290307,248,499
1.0,3.0364963503649642,137,280
0.0,2.9880478087649416,251,499
0.0,2.976190476190476,252,499
0.0,3.028455284552846,246,499
0.0,3.1153846153846163,234,499
0.0,3.1234042553191506,235,499
0.0,2.949218749999999,256,499
1.0,2.9425837320574164,209,408
0.0,2.9266409266409266,259,499
1.0,2.9103139013452908,223,428
0.0,2.8931297709923665,262,499
0.0,2.890151515151517,264,499
1.0,3.0619834710743814,242,499
1.0,3.086956521739131,46,96
1.0,2.8709677419354827,248,464
1.0,3.59493670886076,79,205
1.0,2.910714285714285,56,108
1.0,2.8780487804878048,41,78
1.0,2.6122448979591835,49,79
1.0,2.717948717948717,39,67
1.0,3.2058823529411753,34,75
1.0,3.23076923076923,26,58
1.0,2.5487804878048768,82,128
1.0,3.3529411764705883,17,41
1.0,2.666666666666667,27,47
1.0,2.653846153846154,26,43
1.0,2.6666666666666674,24,41
1.0,2.851851851851851,27,50
1.0,2.7636363636363637,55,97
1.0,2.84,25,50
1.0,2.72,25,43
1.0,2.756756756756757,37,68
1.0,3.6875,16,44
1.0,3.03448275862069,29,59
1.0,2.55,40,63
1.0,3.4736842105263155,19,48
1.0,2.9130434782608696,23,47
1.0,3.4347826086956523,23,57
1.0,2.736842105263158,38,67
1.0,3.5789473684210527,19,51
1.0,3.0454545454545454,22,48
