reward,avg. duration,switch_num,step
0.0,3.1054852320675095,237,499
0.0,2.9150579150579143,259,499
0.0,2.896946564885496,262,499
0.0,3.0878661087866104,239,499
0.0,3.066390041493777,241,499
0.0,2.9377431906614766,257,499
0.0,2.904580152671754,262,499
1.0,3.0308641975308634,162,332
0.0,3.02439024390244,246,499
0.0,3.0080645161290342,248,499
1.0,2.9882352941176475,170,338
0.0,2.8582089552238794,268,499
0.0,2.9801587301587316,252,499
0.0,2.9919678714859455,249,499
0.0,3.083682008368199,239,499
0.0,2.79710144927536,276,499
1.0,3.0552486187845296,181,375
0.0,2.8863636363636362,264,499
0.0,3.1465517241379315,232,499
0.0,2.9488188976377967,254,499
0.0,2.9302325581395356,258,499
0.0,2.9839999999999995,250,499
0.0,3.2962962962962985,216,499
0.0,2.972332015810278,253,499
0.0,2.9645669291338583,254,499
0.0,2.9007633587786272,262,499
0.0,3.0202429149797583,247,499
0.0,2.9568627450980407,255,499
0.0,2.9606299212598413,254,499
0.0,3.0367346938775515,245,499
0.0,3.1850220264317177,227,499
0.0,2.9568627450980394,255,499
0.0,3.0202429149797574,247,499
0.0,3.079166666666667,240,499
0.0,3.057851239669421,242,499
1.0,2.87037037037037,216,406
0.0,3.053719008264462,242,499
0.0,3.053719008264463,242,499
1.0,2.916299559471367,227,436
0.0,2.794964028776976,278,499
1.0,3.0121212121212118,165,332
1.0,2.7880794701986753,151,275
1.0,2.9186991869918706,123,239
1.0,3.0930232558139537,43,91
1.0,3.052631578947368,95,197
1.0,2.8666666666666667,75,140
1.0,2.7380952380952386,42,73
1.0,3.1491228070175437,114,246
1.0,2.812499999999999,32,58
1.0,2.993333333333333,150,299
1.0,3.037037037037037,27,55
1.0,3.0434782608695654,23,48
1.0,3.0294117647058814,34,69
1.0,2.9230769230769234,26,50
1.0,2.7441860465116283,43,75
1.0,3.11864406779661,59,125
1.0,2.857142857142856,238,442
0.0,2.7885304659498202,279,499
0.0,2.897338403041825,263,499
0.0,2.9801587301587316,252,499
0.0,2.8759398496240602,266,499
0.0,2.8651685393258415,267,499
0.0,2.8792452830188684,265,499
1.0,2.8064516129032255,93,169
1.0,3.1666666666666665,36,79
1.0,2.480769230769232,52,77
0.0,2.9450980392156842,255,499
1.0,3.048913043478262,184,380
1.0,2.659090909090909,44,73
1.0,3.11904761904762,42,89
1.0,2.6875000000000004,32,54
1.0,2.9032258064516134,31,63
1.0,3.0312500000000004,32,67
1.0,3.2121212121212115,33,73
1.0,3.0276243093922655,181,367
1.0,2.571428571428572,35,56
1.0,2.830769230769231,65,120
1.0,2.722222222222222,36,64
0.0,2.814545454545454,275,499
1.0,2.8846153846153846,52,99
1.0,2.8205128205128207,39,71
1.0,2.6666666666666665,87,145
1.0,2.875,40,78
1.0,3.0,38,77
1.0,2.769230769230769,52,95
1.0,3.068181818181818,44,94
1.0,2.8571428571428577,35,65
1.0,3.0540540540540544,37,77
1.0,2.794117647058824,34,61
1.0,2.896551724137931,58,112
1.0,2.870967741935484,31,58
1.0,3.3043478260869557,23,56
0.0,2.883018867924527,265,499
1.0,2.9076923076923076,65,124
1.0,2.8785046728971957,107,201
1.0,2.6216216216216215,37,60
1.0,2.9375,48,103
1.0,2.7826086956521743,46,85
1.0,3.0181818181818185,55,112
1.0,2.757575757575758,33,58
1.0,2.7878787878787876,33,59
1.0,3.1199999999999997,25,53
1.0,3.307692307692307,26,60
1.0,2.4444444444444455,36,52
1.0,2.8088235294117654,68,124
0.0,2.8830188679245303,265,499
1.0,2.704545454545454,44,76
1.0,2.4905660377358494,53,79
1.0,2.850746268656717,67,125
