reward,avg. duration,switch_num,step
0.0,3.2376681614349794,223,499
0.0,2.972332015810277,253,499
0.0,2.9880478087649394,251,499
0.0,2.9563492063492056,252,499
1.0,2.9256198347107447,121,233
1.0,2.9197530864197536,162,312
0.0,3.137339055793991,233,499
0.0,3.066390041493774,241,499
0.0,3.0000000000000004,249,499
0.0,2.787003610108305,277,499
0.0,3.128205128205129,234,499
0.0,3.0202429149797547,247,499
0.0,2.9490196078431365,255,499
0.0,3.273972602739724,219,499
0.0,2.84386617100372,269,499
0.0,3.0450819672131146,244,499
0.0,2.9645669291338588,254,499
0.0,2.8759398496240607,266,499
0.0,3.020325203252031,246,499
0.0,3.045081967213114,244,499
0.0,2.8481481481481463,270,499
0.0,3.020242914979758,247,499
0.0,3.0120967741935476,248,499
1.0,3.15,80,175
1.0,3.022988505747126,174,352
0.0,2.9302325581395383,258,499
0.0,2.8901515151515174,264,499
0.0,2.945312500000001,256,499
0.0,2.949218749999999,256,499
1.0,2.9576719576719586,189,370
1.0,2.9761904761904767,168,332
1.0,3.051724137931034,116,241
0.0,3.0326530612244893,245,499
0.0,2.9801587301587302,252,499
1.0,3.0509259259259256,216,444
0.0,3.0000000000000004,249,499
0.0,3.016194331983804,247,499
1.0,2.899408284023669,169,322
0.0,2.8969465648854964,262,499
1.0,2.8205128205128207,39,71
0.0,2.941634241245137,257,499
1.0,2.8023255813953494,86,155
0.0,2.883018867924527,265,499
1.0,3.1809523809523808,105,229
1.0,2.827586206896552,58,106
1.0,3.287128712871288,101,232
1.0,2.8846153846153855,182,344
0.0,3.0367346938775506,245,499
1.0,3.1052631578947376,114,241
0.0,2.843283582089553,268,499
1.0,2.625,32,55
1.0,3.062499999999999,32,68
1.0,2.6666666666666674,30,51
1.0,3.454545454545454,22,55
1.0,2.7037037037037037,27,46
1.0,2.592592592592592,27,44
1.0,3.2222222222222223,18,41
1.0,3.0000000000000004,25,50
1.0,3.3684210526315788,19,45
1.0,2.6521739130434785,23,46
1.0,3.1071428571428563,28,59
1.0,2.5200000000000005,25,42
1.0,3.25,20,46
1.0,2.322580645161291,31,44
0.0,2.8014440433213004,277,499
1.0,2.961538461538462,26,53
1.0,2.576923076923077,26,44
0.0,2.934108527131782,258,499
1.0,3.0476190476190474,21,43
1.0,2.419354838709678,31,44
1.0,2.7916666666666665,24,43
0.0,2.8444444444444414,270,499
1.0,3.0571428571428574,35,73
1.0,2.517241379310345,29,45
0.0,2.782142857142858,280,499
0.0,2.8079710144927534,276,499
1.0,2.64,25,46
1.0,3.444444444444444,18,44
1.0,2.956521739130435,23,45
1.0,2.6399999999999997,25,41
0.0,2.7326388888888884,288,499
1.0,3.3529411764705888,17,42
1.0,3.0499999999999994,20,41
0.0,2.7089041095890414,292,499
1.0,2.9090909090909083,22,42
1.0,3.25,20,46
1.0,2.592592592592593,27,43
0.0,2.8241758241758226,273,499
0.0,2.8145454545454545,275,499
1.0,2.916666666666667,24,46
1.0,2.7500000000000004,36,65
0.0,2.7570422535211256,284,499
1.0,2.481481481481482,27,41
1.0,2.6538461538461546,26,45
1.0,2.6153846153846145,26,43
1.0,2.592592592592593,27,44
1.0,2.517241379310345,29,44
1.0,2.5357142857142865,28,44
1.0,2.5833333333333335,24,41
1.0,2.791666666666667,24,43
1.0,2.6666666666666674,27,45
1.0,2.88,25,48
1.0,2.8076923076923075,26,47
1.0,2.5517241379310347,29,49
0.0,2.7326388888888897,288,499
1.0,2.6296296296296293,27,45
1.0,2.7662337662337673,77,136
0.0,2.7785714285714276,280,499
1.0,2.6666666666666674,24,42
1.0,2.8000000000000003,25,46
1.0,2.5555555555555562,27,42
1.0,2.5517241379310347,58,90
1.0,2.5172413793103448,29,44
1.0,2.666666666666667,27,45
1.0,2.8400000000000003,25,46
1.0,3.1052631578947363,19,42
1.0,3.25,20,46
1.0,3.1818181818181817,22,48
1.0,2.5185185185185186,27,42
0.0,2.7291666666666656,288,499
1.0,2.642857142857143,28,46
1.0,2.68,25,45
0.0,2.541795665634673,323,499
1.0,2.88,25,49
1.0,2.750000000000001,24,43
1.0,3.1999999999999993,20,44
1.0,3.277777777777778,18,41
1.0,2.6153846153846154,26,45
1.0,3.0,21,42
0.0,2.614886731391585,309,499
0.0,2.6084142394822023,309,499
1.0,2.7500000000000004,24,42
1.0,2.5000000000000004,28,42
1.0,2.5185185185185186,27,42
0.0,2.6767676767676765,297,499
0.0,2.641447368421054,304,499
1.0,3.0,22,44
1.0,2.4137931034482767,29,41
1.0,2.433333333333333,30,43
1.0,2.695652173913044,23,41
1.0,2.75,24,42
1.0,2.92,25,48
1.0,3.3,20,47
1.0,2.960000000000001,25,49
0.0,2.6307189542483673,306,499
1.0,2.666666666666668,27,46
1.0,2.857142857142857,21,40
1.0,3.0454545454545454,22,47
1.0,2.689655172413793,29,49
1.0,3.1904761904761907,21,46
0.0,2.579617834394904,314,499
1.0,2.8695652173913047,23,43
0.0,2.5642633228840133,319,499
1.0,3.0000000000000004,23,46
1.0,2.4516129032258074,31,45
0.0,2.5841269841269843,315,499
1.0,2.8333333333333344,24,44
0.0,2.5401234567901243,324,499
0.0,2.512121212121212,330,499
1.0,2.7200000000000006,25,43
1.0,3.095238095238095,21,44
1.0,2.8636363636363633,22,42
1.0,3.294117647058823,17,40
1.0,2.9166666666666665,24,46
1.0,2.555555555555556,27,42
1.0,2.7200000000000006,25,44
1.0,2.375,32,44
1.0,2.7600000000000007,25,45
1.0,2.433333333333334,30,44
1.0,2.791666666666667,24,48
1.0,2.7037037037037037,27,49
1.0,2.8461538461538467,26,50
0.0,2.6390728476821192,302,499
1.0,3.15,20,44
1.0,3.047619047619048,21,43
0.0,2.498498498498499,333,499
0.0,2.51987767584098,327,499
1.0,2.7407407407407405,27,48
