reward,avg. duration,switch_num,step
0.0,2.9723320158102755,253,499
0.0,3.0202429149797565,247,499
0.0,2.9960000000000004,250,499
1.0,3.0273224043715863,183,371
0.0,3.0705394190871353,241,499
0.0,2.827838827838828,273,499
0.0,2.98804780876494,251,499
0.0,3.020242914979758,247,499
0.0,2.8550185873605938,269,499
1.0,3.0909090909090913,154,324
0.0,3.0619834710743814,242,499
0.0,2.9801587301587316,252,499
0.0,3.058577405857739,239,499
1.0,3.036585365853659,164,334
0.0,2.9801587301587316,252,499
1.0,3.0217391304347827,92,188
0.0,3.0534979423868305,243,499
0.0,2.8830188679245254,265,499
0.0,2.8550185873605947,269,499
1.0,2.865853658536585,164,306
1.0,2.9659574468085124,235,462
0.0,3.012096774193548,248,499
0.0,2.883018867924529,265,499
0.0,3.0622406639004134,241,499
1.0,2.965116279069767,172,338
1.0,3.0821917808219172,146,306
0.0,2.8689138576779025,267,499
1.0,2.897058823529412,68,129
1.0,2.73,100,173
0.0,2.9959999999999996,250,499
1.0,2.81578947368421,76,140
0.0,2.9411764705882364,255,499
1.0,2.797385620915033,153,276
0.0,2.8935361216730033,263,499
0.0,2.817518248175184,274,499
1.0,3.5000000000000004,16,40
1.0,3.1052631578947363,19,40
1.0,2.819148936170214,188,343
1.0,2.875,24,45
1.0,2.6551724137931028,29,48
1.0,2.5217391304347823,23,37
1.0,2.8181818181818183,22,42
1.0,2.8842105263157896,95,179
1.0,2.55,20,38
1.0,2.95,20,39
1.0,3.0434782608695645,23,52
1.0,2.84,25,46
1.0,2.8247422680412364,97,178
1.0,3.2631578947368416,19,43
1.0,2.962962962962963,27,55
1.0,3.0526315789473686,19,40
1.0,2.6250000000000004,24,39
1.0,3.1875,16,37
1.0,2.7894736842105265,19,36
1.0,3.411764705882353,17,41
1.0,3.1578947368421053,19,41
1.0,2.681818181818182,22,37
1.0,2.541666666666667,24,37
1.0,2.5000000000000004,24,37
1.0,2.8888888888888893,18,38
1.0,3.1875,16,36
1.0,3.0000000000000004,18,37
1.0,2.714285714285715,21,36
1.0,2.95,20,39
1.0,2.6249999999999996,24,39
1.0,2.6086956521739126,23,37
1.0,2.5909090909090913,22,35
1.0,3.5625,16,41
1.0,3.1176470588235294,17,38
1.0,3.5714285714285716,14,36
1.0,3.352941176470588,17,40
1.0,2.772727272727273,22,39
1.0,3.0,19,38
1.0,2.619047619047619,21,35
1.0,2.8095238095238093,21,39
1.0,2.7826086956521743,23,41
1.0,3.1666666666666665,18,39
1.0,3.25,16,36
1.0,2.9999999999999996,27,54
1.0,2.727272727272727,22,38
1.0,3.0,19,38
1.0,3.210526315789474,19,42
1.0,3.0,21,42
1.0,3.0555555555555554,18,37
1.0,2.7619047619047623,21,38
1.0,2.947368421052632,19,37
1.0,2.95,20,40
1.0,3.047619047619048,21,44
1.0,2.833333333333333,24,44
1.0,3.157894736842105,19,41
1.0,3.0555555555555554,18,37
1.0,2.545454545454546,22,37
1.0,2.833333333333333,24,44
1.0,3.2105263157894735,19,42
1.0,3.2,15,37
1.0,2.6999999999999993,20,34
1.0,3.714285714285714,14,38
1.0,3.0,18,36
1.0,2.7368421052631584,19,42
1.0,4.214285714285714,14,45
1.0,3.1333333333333333,15,36
1.0,3.0000000000000004,20,40
1.0,2.607142857142857,28,45
1.0,3.0,18,36
1.0,2.857142857142857,21,39
1.0,2.8636363636363633,22,41
1.0,2.5517241379310343,29,46
1.0,2.956521739130435,23,45
1.0,3.7222222222222223,18,49
1.0,2.91304347826087,23,45
1.0,2.458333333333334,24,37
1.0,2.8000000000000003,20,37
1.0,2.952380952380952,21,44
1.0,3.1999999999999997,15,36
1.0,2.714285714285715,21,36
1.0,2.75,20,35
1.0,3.4117647058823533,17,44
1.0,2.7142857142857144,21,36
1.0,2.9545454545454546,22,43
1.0,2.9411764705882355,17,34
1.0,3.125,16,35
1.0,3.235294117647059,17,38
1.0,2.565217391304348,23,37
1.0,2.6400000000000006,25,41
1.0,2.681818181818182,22,37
1.0,2.6956521739130435,23,39
1.0,2.8095238095238098,21,38
1.0,3.157894736842105,19,45
1.0,2.86641221374046,262,489
1.0,2.818181818181818,22,41
1.0,3.1176470588235294,17,39
1.0,2.695652173913044,23,40
1.0,2.95,20,39
1.0,2.7999999999999994,20,36
1.0,3.0555555555555554,18,39
1.0,2.4,25,36
1.0,2.818181818181818,22,41
1.0,2.842105263157895,19,36
1.0,2.8823529411764706,17,36
1.0,2.5652173913043477,23,36
1.0,2.5200000000000005,25,39
1.0,2.5909090909090913,22,38
1.0,3.0588235294117645,17,37
1.0,2.6521739130434785,23,38
1.0,2.9523809523809526,21,41
1.0,2.666666666666667,21,39
1.0,2.904761904761905,21,40
1.0,2.6956521739130443,23,40
1.0,2.666666666666667,21,35
1.0,3.4444444444444446,18,47
1.0,2.8421052631578947,19,36
1.0,3.4285714285714284,14,35
1.0,3.0555555555555554,18,38
1.0,2.9047619047619047,21,42
1.0,3.0,18,37
1.0,3.0,23,46
1.0,2.857142857142857,21,39
