reward,avg. duration,switch_num,step
0.0,3.0080645161290325,248,499
0.0,2.999999999999998,249,499
1.0,2.9112426035502943,169,323
0.0,3.217777777777777,225,499
0.0,3.028571428571428,245,499
0.0,2.934108527131782,258,499
0.0,3.000000000000002,249,499
0.0,3.0878661087866104,239,499
1.0,2.9004329004329015,231,439
0.0,3.4174757281553396,206,499
0.0,3.070833333333336,240,499
1.0,2.994117647058825,170,339
0.0,2.9568627450980407,255,499
0.0,3.096638655462183,238,499
0.0,2.9414062499999987,256,499
0.0,3.2533936651583706,221,499
0.0,2.8513011152416343,269,499
0.0,3.0619834710743805,242,499
0.0,2.9266409266409252,259,499
0.0,2.88301886792453,265,499
0.0,3.0326530612244893,245,499
0.0,3.1422413793103456,232,499
0.0,3.0368852459016398,244,499
0.0,3.0121457489878547,247,499
1.0,3.0205479452054766,146,295
0.0,3.0367346938775515,245,499
1.0,2.9038461538461546,156,300
1.0,2.7282608695652173,92,159
1.0,2.916666666666665,108,208
0.0,3.2177777777777767,225,499
0.0,2.937743190661479,257,499
0.0,2.8859315589353605,263,499
1.0,3.0046296296296284,216,434
0.0,2.976190476190476,252,499
0.0,2.8619402985074602,268,499
0.0,3.028455284552844,246,499
1.0,2.8701923076923066,208,389
1.0,3.205882352941176,34,75
0.0,2.949218749999999,256,499
0.0,2.968379446640314,253,499
1.0,3.1282051282051286,156,332
0.0,2.8345588235294112,272,499
1.0,2.977443609022556,133,263
0.0,2.922779922779925,259,499
0.0,2.890151515151516,264,499
0.0,2.9839357429718882,249,499
1.0,3.0982142857142865,112,237
0.0,2.9645669291338588,254,499
0.0,2.9341085271317864,258,499
1.0,3.246913580246914,81,184
0.0,3.0791666666666666,240,499
0.0,2.9179687499999996,256,499
0.0,2.9919999999999987,250,499
1.0,3.047244094488189,127,264
1.0,2.842857142857142,70,129
1.0,3.6296296296296293,27,71
1.0,2.862068965517241,29,54
1.0,2.9130434782608696,23,44
1.0,2.562500000000001,32,51
1.0,3.230769230769231,26,59
1.0,2.8787878787878785,33,62
1.0,2.666666666666667,24,40
1.0,3.1,20,42
1.0,2.9374999999999996,16,34
1.0,3.333333333333333,15,37
1.0,2.7619047619047614,21,38
1.0,2.708333333333334,24,41
1.0,2.8999999999999995,20,38
1.0,3.2499999999999996,16,36
1.0,2.8947368421052633,19,37
1.0,3.052631578947368,19,39
1.0,3.3749999999999996,16,38
1.0,2.85,20,40
1.0,2.9411764705882355,17,37
1.0,3.222222222222222,18,42
1.0,3.0,18,36
1.0,2.761904761904762,21,37
1.0,2.8571428571428577,21,39
1.0,2.423076923076923,26,37
1.0,2.8999999999999995,20,39
1.0,2.882352941176471,17,38
1.0,2.833333333333334,18,35
1.0,3.0000000000000004,17,35
1.0,2.8947368421052633,19,36
1.0,2.7142857142857144,21,37
1.0,2.608695652173913,23,37
1.0,2.75,20,36
1.0,2.8500000000000005,20,37
1.0,2.8571428571428577,21,39
1.0,2.5999999999999996,20,35
1.0,2.9473684210526314,19,37
1.0,2.8,20,37
1.0,2.8947368421052633,19,37
1.0,2.5217391304347827,23,35
1.0,3.333333333333333,15,36
1.0,4.083333333333332,12,37
1.0,2.75,20,37
1.0,3.111111111111111,18,38
1.0,2.6666666666666674,21,38
1.0,2.761904761904762,21,38
1.0,2.6956521739130443,23,39
1.0,2.6250000000000004,24,39
1.0,3.0588235294117645,17,35
1.0,2.88235294117647,17,37
1.0,2.608695652173913,23,37
1.0,2.842105263157895,19,37
1.0,2.947368421052632,19,37
1.0,2.761904761904762,21,37
1.0,3.1176470588235285,17,36
1.0,2.75,24,43
1.0,2.608695652173914,23,38
1.0,2.761904761904762,21,37
1.0,2.9999999999999996,18,36
1.0,2.7142857142857144,21,37
1.0,2.583333333333334,24,38
1.0,3.0,18,36
1.0,2.3913043478260874,23,37
1.0,2.8,20,36
1.0,2.947368421052632,19,37
1.0,3.533333333333333,15,39
1.0,2.8500000000000005,20,37
1.0,2.407407407407408,27,38
1.0,3.0,18,36
1.0,3.4374999999999996,32,80
1.0,2.7272727272727275,22,40
1.0,3.222222222222222,18,40
1.0,2.8235294117647065,17,35
1.0,2.625,24,39
1.0,3.117647058823529,17,37
1.0,2.3703703703703707,27,37
1.0,3.1875,16,35
1.0,2.894736842105263,19,38
1.0,3.0000000000000004,21,42
1.0,2.842105263157895,19,36
1.0,2.857142857142857,21,39
1.0,2.6363636363636367,22,37
1.0,2.6190476190476186,21,37
1.0,2.3703703703703707,27,37
1.0,3.5625,16,42
1.0,2.9499999999999997,20,39
1.0,3.428571428571429,14,37
1.0,2.857142857142857,21,39
1.0,3.15,20,44
1.0,2.75,24,42
1.0,2.636363636363637,22,37
1.0,2.608695652173913,23,37
1.0,2.9000000000000004,20,38
1.0,2.625,24,39
1.0,2.9000000000000004,20,39
1.0,2.7272727272727275,22,38
1.0,2.636363636363637,22,37
1.0,2.9047619047619055,21,40
1.0,2.5714285714285716,21,35
1.0,2.7727272727272734,22,39
1.0,3.1764705882352935,17,37
1.0,2.85,20,38
1.0,3.769230769230769,13,38
1.0,2.5833333333333335,24,39
1.0,2.8947368421052633,19,37
1.0,2.6190476190476195,21,35
1.0,2.7142857142857144,21,38
1.0,2.518518518518519,27,41
1.0,2.7894736842105265,19,35
1.0,2.9473684210526314,19,37
1.0,2.666666666666667,21,35
1.0,2.842105263157895,19,36
1.0,2.833333333333334,18,35
1.0,2.894736842105263,19,37
1.0,3.1764705882352935,17,38
1.0,3.0,18,37
1.0,3.2499999999999996,16,37
1.0,2.4615384615384626,26,38
1.0,3.0588235294117645,17,35
1.0,3.3749999999999996,16,38
1.0,2.750000000000001,20,35
