reward,avg. duration,switch_num,step
0.0,2.8550185873605973,269,499
0.0,3.049382716049383,243,499
0.0,3.0202429149797565,247,499
0.0,2.988047808764941,251,499
0.0,2.9299610894941623,257,499
0.0,2.8689138576779016,267,499
0.0,3.020242914979758,247,499
1.0,3.0301204819277117,166,337
0.0,2.949218749999999,256,499
0.0,3.058091286307055,241,499
0.0,2.9879999999999995,250,499
0.0,3.1373390557939898,233,499
0.0,3.1608695652173906,230,499
0.0,2.8413284132841325,271,499
0.0,2.8863636363636367,264,499
0.0,2.926640926640928,259,499
0.0,2.827838827838826,273,499
0.0,2.827838827838828,273,499
0.0,2.904580152671756,262,499
0.0,2.976095617529881,251,499
0.0,2.8582089552238807,268,499
0.0,2.911877394636016,261,499
0.0,2.8901515151515147,264,499
0.0,2.9492187500000004,256,499
0.0,2.9801587301587293,252,499
0.0,3.0578512396694233,242,499
0.0,3.0878661087866113,239,499
0.0,3.2133333333333325,225,499
0.0,2.9302325581395343,258,499
0.0,3.070833333333333,240,499
0.0,3.132478632478634,234,499
0.0,2.95294117647059,255,499
0.0,2.941406249999999,256,499
0.0,3.110169491525424,236,499
0.0,2.903846153846154,260,499
0.0,2.9007633587786277,262,499
0.0,2.980158730158729,252,499
0.0,3.066666666666665,240,499
0.0,2.8475836431226766,269,499
0.0,3.074999999999998,240,499
0.0,2.908045977011495,261,499
0.0,2.949218749999999,256,499
0.0,3.074999999999998,240,499
0.0,2.9880478087649416,251,499
0.0,3.00401606425703,249,499
0.0,2.9568627450980407,255,499
0.0,3.114893617021276,235,499
0.0,2.934108527131784,258,499
0.0,2.797833935018049,277,499
0.0,3.0622406639004165,241,499
0.0,2.9488188976377963,254,499
0.0,3.353773584905661,212,499
1.0,2.763513513513515,148,263
1.0,3.0468750000000004,128,262
1.0,3.102150537634408,186,392
1.0,2.9257142857142866,175,337
0.0,2.941176470588233,255,499
0.0,3.123931623931625,234,499
1.0,2.9696969696969693,66,130
0.0,2.9045801526717567,262,499
0.0,2.92664092664093,259,499
1.0,3.153846153846154,104,224
1.0,3.1060606060606064,66,139
0.0,2.911877394636015,261,499
0.0,2.964566929133857,254,499
0.0,2.9227799227799225,259,499
1.0,3.0660377358490574,106,221
1.0,2.8604651162790695,43,80
1.0,3.000000000000001,36,72
1.0,2.6315789473684204,57,95
0.0,2.8759398496240616,266,499
1.0,2.719298245614035,114,196
1.0,3.011363636363636,88,177
1.0,3.125,40,85
0.0,2.854477611940298,268,499
0.0,2.930232558139536,258,499
1.0,2.9555555555555544,225,440
1.0,2.991071428571432,224,448
1.0,2.8000000000000007,60,108
1.0,2.976744186046512,43,85
1.0,2.939393939393939,33,64
1.0,2.9701492537313436,67,132
1.0,2.6250000000000004,48,78
1.0,3.347826086956522,23,56
1.0,3.290322580645161,31,71
1.0,2.7749999999999995,40,71
1.0,2.84375,32,60
1.0,3.4285714285714293,21,51
1.0,3.2727272727272725,88,201
1.0,2.827586206896552,29,53
1.0,3.0,25,52
1.0,2.7,30,52
1.0,2.8666666666666663,30,56
1.0,3.428571428571428,21,51
1.0,2.6785714285714293,28,52
1.0,2.594594594594595,37,59
1.0,3.478260869565217,23,60
1.0,3.12,25,53
1.0,3.2500000000000004,24,55
1.0,2.741935483870967,31,55
1.0,2.857142857142857,35,66
1.0,3.1600000000000006,25,54
1.0,2.428571428571429,35,52
1.0,2.7647058823529416,34,60
1.0,2.515151515151515,33,50
1.0,2.588235294117647,34,54
1.0,2.7931034482758617,29,54
1.0,2.636363636363636,33,54
1.0,2.696969696969697,33,57
1.0,2.743589743589743,39,68
1.0,2.851851851851852,27,50
1.0,2.892857142857143,28,53
1.0,2.7058823529411766,34,58
1.0,2.5806451612903225,31,52
