reward,avg. duration,switch_num,step
0.0,2.9880478087649425,251,499
0.0,2.9565217391304355,253,499
1.0,2.9766081871345027,171,338
0.0,2.919230769230769,260,499
0.0,2.991967871485945,249,499
0.0,2.956862745098039,255,499
0.0,2.964566929133858,254,499
0.0,2.914728682170543,258,499
0.0,3.020242914979757,247,499
0.0,2.9416342412451364,257,499
0.0,2.9999999999999982,247,499
0.0,2.8079710144927534,276,499
0.0,2.900763358778624,262,499
0.0,3.008064516129032,248,499
0.0,3.1659388646288193,229,499
0.0,3.0878661087866104,239,499
0.0,2.893536121673005,263,499
0.0,3.004016064257029,249,499
0.0,3.03673469387755,245,499
0.0,3.070833333333335,240,499
0.0,2.980079681274898,251,499
0.0,2.9801587301587302,252,499
0.0,2.9341085271317837,258,499
0.0,3.020242914979756,247,499
0.0,2.8901515151515142,264,499
0.0,2.904580152671756,262,499
0.0,2.8689138576778994,267,499
0.0,2.9377431906614784,257,499
0.0,2.848148148148148,270,499
0.0,3.2242152466367706,223,499
0.0,3.061983471074381,242,499
0.0,3.058333333333335,240,499
0.0,2.9761904761904754,252,499
0.0,3.079497907949791,239,499
0.0,2.980158730158731,252,499
0.0,2.995999999999999,250,499
0.0,3.1282051282051295,234,499
0.0,2.980158730158731,252,499
0.0,3.0326530612244906,245,499
0.0,3.0450819672131155,244,499
0.0,3.0202429149797587,247,499
0.0,2.9682539682539684,252,499
0.0,2.9338521400778217,257,499
0.0,2.903846153846153,260,499
0.0,2.8787878787878793,264,499
0.0,3.0121457489878534,247,499
0.0,2.911877394636016,261,499
0.0,3.0966386554621854,238,499
0.0,2.96414342629482,251,499
0.0,2.8481481481481485,270,499
0.0,3.1842105263157894,228,499
0.0,2.8684210526315783,266,499
0.0,2.9375000000000013,256,499
0.0,2.8969465648854955,262,499
0.0,3.045081967213114,244,499
1.0,2.9339622641509426,212,412
0.0,3.066390041493778,241,499
0.0,2.964566929133858,254,499
1.0,3.0652173913043477,184,381
1.0,3.147540983606557,122,264
0.0,3.0409836065573783,244,499
1.0,3.1641791044776113,201,435
1.0,2.9641434262948203,251,493
0.0,3.0708333333333333,240,499
0.0,3.237668161434977,223,499
0.0,3.053497942386832,243,499
0.0,3.053719008264462,242,499
0.0,3.0534979423868296,243,499
0.0,3.079166666666666,240,499
0.0,3.101265822784808,237,499
0.0,2.8901515151515156,264,499
0.0,3.0450819672131124,244,499
0.0,3.0622406639004143,241,499
0.0,2.8897338403041837,263,499
1.0,3.0080645161290303,248,499
1.0,2.8773946360153255,261,491
1.0,3.2237442922374413,219,489
0.0,2.904580152671755,262,499
1.0,2.96153846153846,234,460
0.0,2.9999999999999996,248,499
1.0,2.9642857142857153,84,166
1.0,2.9504950495049513,202,394
1.0,2.8428571428571434,70,129
1.0,3.010869565217391,184,372
0.0,2.9529411764705915,255,499
1.0,2.7413793103448274,58,104
1.0,3.1118012422360257,161,342
1.0,2.912820512820513,195,374
1.0,3.375000000000001,24,57
1.0,3.027777777777778,36,73
1.0,3.184397163120567,141,308
0.0,3.0040160642570277,249,499
1.0,3.000000000000001,43,88
1.0,2.7031249999999996,64,111
1.0,2.9629629629629624,27,55
0.0,2.9880478087649394,251,499
0.0,3.0749999999999993,240,499
0.0,2.97211155378486,251,499
0.0,2.948616600790515,253,499
0.0,2.915384615384615,260,499
0.0,2.87593984962406,266,499
0.0,2.797833935018051,277,499
0.0,2.897338403041827,263,499
