reward,avg. duration,switch_num,step
0.0,3.0202429149797596,247,499
0.0,3.1072961373390546,233,499
0.0,3.036885245901641,244,499
0.0,2.926640926640926,259,499
0.0,3.0493827160493825,243,499
0.0,2.8651685393258437,267,499
0.0,3.1234042553191497,235,499
0.0,3.0202429149797587,247,499
0.0,3.0493827160493825,243,499
0.0,2.9118773946360155,261,499
0.0,2.848148148148147,270,499
0.0,3.0450819672131137,244,499
0.0,2.911877394636017,261,499
0.0,2.996,250,499
0.0,2.941406250000001,256,499
0.0,2.9453125,256,499
0.0,2.8376383763837647,271,499
0.0,2.9959839357429714,249,499
1.0,2.9203980099502487,201,386
0.0,2.988047808764941,251,499
0.0,2.9801587301587302,252,499
0.0,2.9722222222222214,252,499
0.0,3.0243902439024395,246,499
0.0,3.020242914979757,247,499
0.0,2.8830188679245285,265,499
0.0,2.9031007751937996,258,499
0.0,2.926640926640928,259,499
0.0,3.105485232067511,237,499
0.0,3.045081967213115,244,499
0.0,2.8825757575757587,264,499
0.0,2.883018867924528,265,499
0.0,3.0974576271186445,236,499
0.0,2.893536121673005,263,499
0.0,3.0878661087866086,239,499
0.0,3.0284552845528427,246,499
0.0,2.949218749999999,256,499
0.0,3.1054852320675104,237,499
0.0,3.0040160642570286,249,499
0.0,2.864661654135338,266,499
0.0,3.066390041493777,241,499
0.0,2.9801587301587302,252,499
0.0,2.972332015810276,253,499
0.0,2.8792452830188693,265,499
1.0,2.830065359477125,153,282
0.0,3.128755364806868,233,499
0.0,2.9722222222222197,252,499
0.0,3.0708333333333333,240,499
0.0,3.1695652173913067,230,499
0.0,3.0749999999999993,240,499
0.0,3.0878661087866104,239,499
0.0,2.9606299212598435,254,499
0.0,2.8969465648854973,262,499
0.0,2.949218749999999,256,499
1.0,3.0260869565217376,115,233
0.0,3.0578512396694237,242,499
0.0,2.9568627450980394,255,499
1.0,2.9085365853658547,164,313
0.0,3.0450819672131146,244,499
0.0,2.9118773946360164,261,499
0.0,3.036734693877552,245,499
0.0,3.066390041493774,241,499
0.0,3.0580912863070555,241,499
0.0,2.9414062499999996,256,499
1.0,2.818181818181818,154,281
0.0,2.933852140077821,257,499
0.0,2.8830188679245294,265,499
0.0,3.045081967213115,244,499
0.0,2.8308823529411753,272,499
0.0,2.821167883211678,274,499
0.0,2.9723320158102773,253,499
1.0,2.9017094017094047,234,446
1.0,3.1828571428571433,175,383
1.0,3.0721649484536093,97,201
1.0,2.9925925925925925,135,270
1.0,3.093750000000001,64,135
1.0,3.082474226804124,97,202
1.0,3.124999999999999,72,153
1.0,2.891891891891892,37,70
1.0,3.1379310344827585,29,63
1.0,2.807692307692308,26,47
1.0,2.6,25,42
1.0,2.9166666666666665,24,48
1.0,2.8260869565217392,23,44
1.0,2.75,24,42
1.0,2.5357142857142856,28,43
1.0,3.05,20,41
1.0,3.0000000000000004,22,45
1.0,3.0,23,47
1.0,3.0,34,68
1.0,3.4499999999999997,20,51
1.0,2.904761904761905,21,41
1.0,2.666666666666666,30,51
1.0,3.166666666666666,18,42
1.0,3.1052631578947367,19,41
1.0,3.0999999999999996,20,42
1.0,3.238095238095238,21,48
1.0,2.9583333333333344,24,47
1.0,2.8484848484848486,33,62
1.0,2.9615384615384612,26,55
1.0,2.973684210526316,38,75
1.0,3.3636363636363633,22,52
1.0,2.8076923076923084,26,48
1.0,2.548387096774194,31,48
1.0,2.6,30,48
1.0,3.8,15,44
1.0,2.484848484848485,33,50
1.0,3.6111111111111107,18,47
1.0,2.878787878787879,33,65
1.0,2.818181818181818,22,42
1.0,2.6799999999999993,25,42
1.0,2.5277777777777777,36,56
1.0,2.8275862068965516,29,53
1.0,2.7142857142857144,28,48
1.0,2.909090909090909,22,42
1.0,2.96,25,50
1.0,2.833333333333334,24,44
1.0,2.8,25,46
1.0,2.7500000000000004,24,44
1.0,2.769230769230769,26,46
1.0,2.92,25,48
1.0,2.923076923076923,26,50
0.0,3.0161943319838054,247,499
1.0,2.740740740740741,27,47
1.0,2.6250000000000004,56,93
1.0,2.92,25,48
1.0,2.607142857142857,28,45
1.0,3.5999999999999996,25,65
1.0,2.5555555555555567,27,43
1.0,3.380952380952381,21,50
1.0,2.9615384615384626,26,53
0.0,3.1330472103004303,233,499
1.0,3.0399999999999996,25,52
1.0,2.9640718562874233,167,328
1.0,3.0454545454545454,22,48
1.0,2.9736842105263155,38,75
1.0,2.621621621621622,37,60
1.0,2.8857142857142857,35,66
1.0,2.3870967741935485,31,44
1.0,3.3333333333333335,21,49
1.0,3.181818181818181,22,49
1.0,2.730769230769231,26,46
1.0,3.272727272727273,22,50
1.0,2.7619047619047623,21,43
1.0,2.791666666666668,24,44
1.0,2.8750000000000004,24,47
1.0,2.9285714285714284,28,54
1.0,2.848484848484849,33,61
1.0,3.2941176470588234,17,49
1.0,2.454545454545455,33,52
1.0,3.2727272727272725,22,50
