reward,avg. duration,switch_num,step
0.0,3.0663900414937753,241,499
0.0,2.976190476190475,252,499
0.0,3.00401606425703,249,499
1.0,3.4235294117647053,85,207
0.0,2.996,250,499
0.0,2.9453124999999982,256,499
0.0,3.09704641350211,237,499
0.0,3.061983471074382,242,499
0.0,3.0663900414937753,241,499
0.0,3.0878661087866117,239,499
0.0,3.0791666666666644,240,499
0.0,3.0202429149797587,247,499
0.0,3.1106382978723404,235,499
0.0,3.137339055793992,233,499
0.0,2.8007246376811588,276,499
0.0,3.075000000000002,240,499
0.0,2.882575757575758,264,499
0.0,2.922178988326848,257,499
0.0,3.0619834710743805,242,499
0.0,3.0970464135021105,237,499
0.0,3.0120967741935485,248,499
0.0,2.9007633587786263,262,499
0.0,2.9683794466403146,253,499
0.0,3.049382716049384,243,499
0.0,3.147186147186147,231,499
0.0,3.0368852459016398,244,499
0.0,3.03673469387755,245,499
0.0,3.096638655462185,238,499
0.0,3.053497942386833,243,499
0.0,3.0367346938775532,245,499
0.0,3.0120967741935507,248,499
0.0,3.070539419087137,241,499
0.0,3.012096774193548,248,499
0.0,2.9722222222222228,252,499
0.0,2.9045801526717567,262,499
0.0,2.9801587301587316,252,499
0.0,2.988047808764942,251,499
0.0,2.8901515151515156,264,499
0.0,2.999999999999999,249,499
0.0,2.9076923076923085,260,499
0.0,2.9568627450980394,255,499
0.0,2.911877394636017,261,499
0.0,3.0619834710743827,242,499
0.0,2.8198529411764715,272,499
0.0,2.8721804511278193,266,499
1.0,2.9303482587064673,201,388
0.0,3.024390243902439,246,499
0.0,3.1324786324786316,234,499
0.0,3.0000000000000004,249,499
0.0,3.0705394190871367,241,499
0.0,3.036885245901639,244,499
0.0,3.1101694915254234,236,499
0.0,3.024390243902439,246,499
1.0,2.9574468085106367,188,368
1.0,2.8248847926267273,217,396
1.0,2.8996138996139003,259,492
0.0,3.049382716049382,243,499
1.0,2.838509316770187,161,297
0.0,3.096638655462186,238,499
0.0,2.911538461538462,260,499
1.0,2.9884393063583814,173,344
1.0,2.83132530120482,83,153
0.0,2.900763358778625,262,499
0.0,2.988047808764938,251,499
0.0,3.0284552845528454,246,499
0.0,3.08786610878661,239,499
0.0,3.0578512396694197,242,499
1.0,3.039823008849557,226,463
0.0,3.000000000000001,249,499
1.0,2.895397489539747,239,454
0.0,2.875939849624063,266,499
0.0,2.9341085271317846,258,499
0.0,3.1282051282051286,234,499
1.0,2.975903614457831,249,493
0.0,2.837638376383763,271,499
0.0,2.9296875000000004,256,499
0.0,3.024390243902439,246,499
0.0,3.0534979423868323,243,499
0.0,3.0663900414937757,241,499
0.0,2.9118773946360177,261,499
1.0,3.0192307692307683,52,106
1.0,3.0,45,90
1.0,2.6666666666666665,57,95
1.0,3.2608695652173916,23,52
1.0,3.2608695652173907,23,53
1.0,3.0930232558139537,43,91
1.0,2.6818181818181817,22,38
1.0,3.384615384615384,13,31
1.0,2.68421052631579,19,35
1.0,3.1999999999999997,15,33
1.0,3.3846153846153846,13,33
1.0,2.6666666666666674,21,35
1.0,2.8888888888888893,18,34
1.0,3.0624999999999996,16,33
1.0,2.619047619047619,21,35
1.0,2.6315789473684212,19,31
1.0,3.4615384615384612,13,32
1.0,3.176470588235294,17,37
1.0,2.6363636363636367,22,37
1.0,2.8421052631578947,19,38
1.0,3.3529411764705883,17,41
1.0,2.692307692307692,26,44
1.0,2.8947368421052633,19,37
1.0,2.6363636363636362,22,36
1.0,3.0999999999999996,20,42
1.0,2.818181818181819,22,40
1.0,2.75,20,35
1.0,2.681818181818182,22,38
1.0,3.0,19,39
1.0,2.6842105263157894,19,32
1.0,2.6818181818181825,22,37
1.0,2.7368421052631575,19,34
1.0,3.3333333333333335,15,37
1.0,2.904761904761905,21,40
1.0,3.583333333333333,12,34
1.0,2.3478260869565215,23,33
1.0,3.0909090909090913,22,47
1.0,3.0588235294117645,17,36
1.0,3.0555555555555554,18,37
1.0,2.944444444444444,18,35
1.0,2.6,25,41
1.0,2.85,20,38
1.0,2.9375,16,31
1.0,2.5500000000000007,20,31
1.0,3.36,25,59
1.0,2.5652173913043477,23,36
1.0,2.681818181818182,22,37
1.0,3.1111111111111107,18,38
1.0,3.0,20,40
1.0,2.9047619047619055,21,40
1.0,3.642857142857143,14,39
1.0,2.8333333333333335,18,36
1.0,2.681818181818182,22,38
1.0,2.5,24,36
